"id","nummer","naam","vegetarisch","pikant","prijs","bolognesesaus","ei","gehaktsaus","ham","kipfilet","ossenhaas","rosbief","salami","spek","varkensfilet","ansjovis","garnalen","inktvis","mosselen","paling","tonijn","zeevruchten","zalm","artisjokken","asperges","broccoli","champignons","kappertjes","knoflook","olijven","paprika","spaanse_pepers","tomaten","uien","ananas","banaan","gemengd_fruit","brie","gorgonzola","kaas","mozzarella","parmezaanse_kaas","parmaham","verse_peterselie","rucola","cherry_tomaatjes","verse_basilicum","verse_knoflook","groene_pesto","gegrilde_aubergine","pijnboompitjes","rode_ui","spinazie","gepelde_gambas","rode_zalm_snippers","room"
"1","1","Margherita","1","0","5.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","2","Napolitana","0","0","6.00","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","3","Salame","0","0","6.00","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","4","Prosciutto","0","0","6.00","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","5","Funghi","1","0","6.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","6","Quattro_Stagioni","0","0","6.50","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","7","Mista","0","0","8.50","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","8","Tonno","0","0","7.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","9","Peperoni","1","0","7.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","10","Capricciosa","0","0","7.50","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
